"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Date'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Events'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Photos/Videos'}"
"{'column_span': 3, 'is_header': False, 'row_span': 1, 'value': 'Week 6[edit]'}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Wednesday, March 1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Senate confirms Ryan Zinke as 52nd Secretary of the Interior by a vote of 68-31. The House Intelligence Committee opens an inquiry into allegations of Russian interference in the 2016 United States elections.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Secretary of Commerce Ross addresses employees.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Thursday, March 2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'President Trump tells reporters that he has ""total"" confidence in Attorney General Sessions, then delivers a speech aboard the aircraft carrier USS Gerald R.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Play media President Trump's weekly address aboard the Gerald R Ford aircraft carrier.""}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Friday, March 3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'President Trump and Secretary of Education DeVos visit Saint Andrew Catholic School in Orlando, Florida. President Trump attends an evening Republican fundraising event at the Four Seasons hotel in Palm Beach, Florida.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'President Trump and Secretary of Education DeVos with students of Saint Andrew Catholic School.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Saturday, March 4'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""In a series of tweets, President Trump publicly accuses former President Obama of intercepting communications at his offices in New York City's Trump Tower in October 2016; Obama spokesman Kevin Lewis denies the claim.""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'A March 4 Trump Demonstration in Washington, D.C.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sunday, March 5'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'James R. Clapper, a former Director of National Intelligence, denies the wiretapping claims of President Trump\'s election campaign and states that the agencies he supervised found ""no evidence of collusion"" between the Trump campaign and Russian officials.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 3, 'is_header': False, 'row_span': 1, 'value': 'Week 7[edit]'}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Monday, March 6'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'President Trump signs Executive Order 13780, seen as a revised version of Executive Order 13769, effective March 16, removing Iraq from affected countries and clarifying that lawful permanent residents are excluded from the travel ban.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'President Trump signing Executive Order 13780.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tuesday, March 7'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'President Trump speaks on the telephone with Prime Minister Shinzō Abe to voice his support for Japan in reaction to new reports of North Korean missile tests.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Play media President Trump speaks about the Republican replacement bill for the Affordable Care Act.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Wednesday, March 8'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Formal drafting of the repeal of the Affordable Care Act begins. Federal judge Derrick Watson permits Attorney General of Hawaii Doug Chin to submit a lawsuit against President Trump's newly revised travel ban, to be heard on March 15.""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Play media White House press briefing on March 8, 2017.'}"
