id,path,meta
wtq_train_00000,train_tables/wtq_train_00000.csv,"{'question': 'how many songs were released after 1977?', 'answers': ['10']}"
wtq_train_00001,train_tables/wtq_train_00001.csv,"{'question': 'what movie was he nominated the most times for?', 'answers': ['Fugitive Pieces (film)']}"
wtq_train_00002,train_tables/wtq_train_00002.csv,"{'question': 'only one championship in which he participated was held outside europe. where was this?', 'answers': ['Tokyo, Japan']}"
wtq_train_00003,train_tables/wtq_train_00003.csv,"{'question': 'which album had the most singles releases?', 'answers': ['Rotting Piñata']}"
wtq_train_00004,train_tables/wtq_train_00004.csv,"{'question': 'what team is after the 2006 to 2008 season in the east superleague column?', 'answers': ['Bonnyrigg Rose Athletic']}"
wtq_train_00005,train_tables/wtq_train_00005.csv,"{'question': 'at most part, how many emission standards are equal to or less than 1.1?', 'answers': ['1']}"
wtq_train_00006,train_tables/wtq_train_00006.csv,"{'question': 'name an abbey located in greater london county.', 'answers': ['Barking Abbey']}"
wtq_train_00007,train_tables/wtq_train_00007.csv,"{'question': 'what is the total number of guests listed on episode two?', 'answers': ['9']}"
wtq_train_00008,train_tables/wtq_train_00008.csv,"{'question': 'what is the number of different races that brazil has won?', 'answers': ['0']}"
wtq_train_00009,train_tables/wtq_train_00009.csv,"{'question': 'what car was driven by the top ranked driver?', 'answers': ['Dodge Viper GTS ACR']}"
wtq_train_00010,train_tables/wtq_train_00010.csv,"{'question': 'who finished at the top with a gold medal?', 'answers': ['Felix Loch']}"
wtq_train_00011,train_tables/wtq_train_00011.csv,"{'question': 'how many total points did scotland score in friendly competitions?', 'answers': ['9']}"
wtq_train_00012,train_tables/wtq_train_00012.csv,"{'question': 'what was the difference between the fastest and slowest speed during the year?', 'answers': ['101.74']}"
wtq_train_00013,train_tables/wtq_train_00013.csv,"{'question': 'who won the last one?', 'answers': ['Zak Irvin']}"
wtq_train_00014,train_tables/wtq_train_00014.csv,"{'question': 'collectively, how many shows did hbo and mtv air?', 'answers': ['3']}"
wtq_train_00015,train_tables/wtq_train_00015.csv,"{'question': 'what was the round result of the year after the k-mart racing team got 3rd?', 'answers': ['1st']}"
wtq_train_00016,train_tables/wtq_train_00016.csv,"{'question': 'how many locomotives make the list of the largest locomotives?', 'answers': ['44']}"
wtq_train_00017,train_tables/wtq_train_00017.csv,"{'question': 'what tournament is at the top?', 'answers': ['World Championships']}"
wtq_train_00018,train_tables/wtq_train_00018.csv,"{'question': 'in what country did lyuboslavskiy have his best performance?', 'answers': ['Germany']}"
wtq_train_00019,train_tables/wtq_train_00019.csv,"{'question': 'which month had the least games played?', 'answers': ['October']}"
wtq_train_00020,train_tables/wtq_train_00020.csv,"{'question': 'how many names are there?', 'answers': ['11']}"
wtq_train_00021,train_tables/wtq_train_00021.csv,"{'question': 'how many teams won less than the pune strykers?', 'answers': ['4']}"
wtq_train_00022,train_tables/wtq_train_00022.csv,"{'question': 'which team from the united states completed the most laps?', 'answers': ['Shelby-American Inc.']}"
wtq_train_00023,train_tables/wtq_train_00023.csv,"{'question': 'which song is last on the list?', 'answers': ['Come On! Come On! (Digital Single)']}"
wtq_train_00024,train_tables/wtq_train_00024.csv,"{'question': 'what call sign is listed directly before kbmk?', 'answers': ['KBFR']}"
